age,workclass,education,marital_status,occupation,race,sex,hours_per_week,capital_gain,capital_loss,native_country,income
72,Self-emp-not-inc,HS Graduate,Never-married,Sales,Black,Female,32,8131,3665,Mexico,>50K
81,Self-emp-not-inc,Masters,Separated,Prof-specialty,Amer-Indian-Eskimo,Female,31,8633,987,Germany,<=50K
20,State-gov,Some College,Married-spouse-absent,Other-service,Amer-Indian-Eskimo,Female,95,461,2630,Philippines,>50K
68,Self-emp-not-inc,10th Grade,Married-civ-spouse,Tech-support,Other,Female,28,641,3241,Philippines,<=50K
24,Self-emp-inc,Bachelors,Married-spouse-absent,Sales,White,Male,61,8980,3284,Philippines,>50K
38,Self-emp-not-inc,11th Grade,Separated,Other-service,White,Female,85,841,2077,Philippines,<=50K
56,Self-emp-inc,Doctorate,Never-married,Prof-specialty,White,Male,91,2625,3920,Philippines,>50K
35,State-gov,Doctorate,Widowed,Prof-specialty,Black,Female,9,9211,3457,Canada,>50K
21,Self-emp-inc,10th Grade,Widowed,Exec-managerial,Amer-Indian-Eskimo,Male,48,4801,2323,Philippines,>50K
77,State-gov,Bachelors,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,28,3121,4519,United-States,<=50K
31,Federal-gov,Masters,Widowed,Exec-managerial,Black,Female,60,5443,3535,Philippines,>50K
26,Self-emp-not-inc,Masters,Never-married,Craft-repair,Amer-Indian-Eskimo,Male,10,7934,3740,Germany,<=50K
70,Local-gov,Masters,Married-spouse-absent,Other-service,Other,Male,32,5752,1124,Philippines,>50K
19,Private,Masters,Divorced,Craft-repair,Asian-Pac-Islander,Male,37,4969,2480,United-States,<=50K
77,Local-gov,10th Grade,Never-married,Exec-managerial,Other,Female,59,8040,832,Germany,>50K
88,Self-emp-not-inc,10th Grade,Separated,Prof-specialty,White,Female,21,4056,1464,Philippines,<=50K
61,Local-gov,Some College,Divorced,Other-service,Black,Female,26,4654,1145,Philippines,<=50K
25,Self-emp-not-inc,Doctorate,Widowed,Other-service,Asian-Pac-Islander,Female,57,6618,54,Mexico,>50K
64,Self-emp-not-inc,Some College,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,92,6825,4902,Canada,>50K
52,Local-gov,Bachelors,Never-married,Craft-repair,White,Male,25,5786,3992,Germany,>50K
53,Self-emp-inc,11th Grade,Married-civ-spouse,Tech-support,Amer-Indian-Eskimo,Female,77,2606,4061,Germany,>50K
67,Federal-gov,10th Grade,Widowed,Exec-managerial,Asian-Pac-Islander,Female,28,1655,2371,Germany,<=50K
21,Federal-gov,Some College,Married-civ-spouse,Exec-managerial,Black,Male,7,5441,4299,Philippines,<=50K
19,Federal-gov,Masters,Married-spouse-absent,Tech-support,Black,Female,31,6101,1860,United-States,<=50K
23,Federal-gov,11th Grade,Divorced,Prof-specialty,Other,Female,46,546,2414,Mexico,>50K
71,Private,Some College,Widowed,Tech-support,Black,Female,54,8904,62,United-States,>50K
21,State-gov,Doctorate,Married-spouse-absent,Other-service,White,Male,17,6600,4948,Philippines,>50K
71,Self-emp-not-inc,Masters,Never-married,Tech-support,Black,Female,76,5609,4948,Canada,<=50K
80,Private,HS Graduate,Married-civ-spouse,Other-service,Black,Male,18,5590,1822,Philippines,<=50K
35,Federal-gov,Bachelors,Never-married,Prof-specialty,White,Male,19,5045,4020,Canada,>50K
61,Federal-gov,11th Grade,Widowed,Tech-support,Amer-Indian-Eskimo,Female,82,4045,997,Canada,<=50K
51,Local-gov,Doctorate,Never-married,Craft-repair,Asian-Pac-Islander,Female,84,4212,3116,Canada,>50K
79,Federal-gov,Some College,Widowed,Other-service,White,Male,56,5339,3916,Mexico,>50K
31,Self-emp-not-inc,10th Grade,Separated,Craft-repair,Amer-Indian-Eskimo,Female,5,7301,2945,Canada,<=50K
65,Federal-gov,Bachelors,Never-married,Tech-support,White,Male,78,740,3569,Mexico,<=50K
32,Federal-gov,Masters,Separated,Craft-repair,White,Female,14,7635,3670,Canada,<=50K
89,Private,11th Grade,Married-civ-spouse,Exec-managerial,Other,Male,7,7765,3705,United-States,<=50K
79,Self-emp-not-inc,Doctorate,Married-spouse-absent,Tech-support,Asian-Pac-Islander,Female,33,7126,4867,Mexico,<=50K
57,Self-emp-inc,11th Grade,Never-married,Other-service,Asian-Pac-Islander,Male,19,4607,683,Mexico,<=50K
70,Local-gov,Bachelors,Never-married,Prof-specialty,Other,Female,86,45,148,United-States,<=50K
41,Self-emp-inc,Some College,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,69,973,3039,Canada,<=50K
43,State-gov,10th Grade,Never-married,Prof-specialty,Asian-Pac-Islander,Female,10,6191,3566,Philippines,>50K
77,Private,10th Grade,Widowed,Sales,Black,Male,95,2140,4554,Canada,<=50K
58,Federal-gov,Some College,Separated,Prof-specialty,White,Male,87,2543,3571,United-States,>50K
46,Local-gov,HS Graduate,Divorced,Exec-managerial,Asian-Pac-Islander,Male,56,9614,4853,United-States,>50K
32,State-gov,Bachelors,Widowed,Other-service,Amer-Indian-Eskimo,Male,15,9080,4516,Philippines,>50K
62,State-gov,Masters,Divorced,Tech-support,Other,Male,3,4423,607,Philippines,<=50K
82,Self-emp-not-inc,11th Grade,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,97,4548,711,Philippines,>50K
88,Local-gov,Masters,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Female,85,9302,4475,United-States,>50K
26,State-gov,Doctorate,Never-married,Exec-managerial,White,Female,73,7569,443,United-States,>50K
18,Private,Masters,Widowed,Other-service,White,Female,31,1899,958,Canada,<=50K
25,Federal-gov,HS Graduate,Married-spouse-absent,Exec-managerial,White,Male,71,7588,989,Canada,<=50K
80,Private,Bachelors,Divorced,Other-service,Asian-Pac-Islander,Female,23,7391,1067,United-States,>50K
28,State-gov,HS Graduate,Separated,Other-service,Black,Female,48,5583,1699,United-States,>50K
25,Self-emp-not-inc,10th Grade,Married-spouse-absent,Sales,Asian-Pac-Islander,Male,88,321,2964,Philippines,>50K
52,Self-emp-inc,HS Graduate,Widowed,Other-service,Black,Male,59,6491,3150,Canada,<=50K
52,Federal-gov,Bachelors,Married-spouse-absent,Sales,Other,Male,75,9442,3526,Germany,<=50K
50,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Black,Female,55,6183,174,Canada,<=50K
22,Private,11th Grade,Widowed,Prof-specialty,Amer-Indian-Eskimo,Female,98,9255,4883,United-States,<=50K
58,Private,Bachelors,Separated,Tech-support,White,Male,66,5019,2167,Mexico,>50K
45,Private,Doctorate,Widowed,Exec-managerial,Asian-Pac-Islander,Male,80,9286,3376,United-States,>50K
24,State-gov,11th Grade,Never-married,Craft-repair,Black,Male,87,7571,3594,Canada,>50K
89,Federal-gov,11th Grade,Married-spouse-absent,Craft-repair,White,Female,52,3278,1288,Canada,>50K
29,Private,Masters,Separated,Prof-specialty,White,Male,70,474,378,United-States,<=50K
51,Local-gov,HS Graduate,Divorced,Tech-support,Black,Male,2,4795,4898,Philippines,<=50K
50,State-gov,Bachelors,Married-civ-spouse,Sales,Other,Female,22,4097,1800,Germany,<=50K
65,State-gov,Masters,Widowed,Other-service,White,Female,69,7788,4690,Philippines,<=50K
40,Local-gov,Masters,Separated,Prof-specialty,Other,Male,91,4270,1904,Mexico,>50K
79,Local-gov,HS Graduate,Never-married,Exec-managerial,Other,Male,88,1236,564,United-States,>50K
54,State-gov,11th Grade,Never-married,Prof-specialty,Asian-Pac-Islander,Male,19,1710,3322,Philippines,<=50K
61,Federal-gov,Masters,Divorced,Other-service,Black,Female,98,2164,800,Philippines,>50K
52,Private,Masters,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Male,4,2834,1424,Germany,>50K
82,Self-emp-not-inc,11th Grade,Never-married,Craft-repair,Amer-Indian-Eskimo,Female,67,4741,162,Mexico,>50K
64,Private,11th Grade,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Female,34,7751,2741,Canada,<=50K
20,Federal-gov,10th Grade,Separated,Sales,Black,Female,7,262,1721,Germany,<=50K
18,Local-gov,Bachelors,Widowed,Craft-repair,Other,Female,73,799,2048,United-States,<=50K
22,Federal-gov,10th Grade,Divorced,Other-service,Other,Male,1,3170,3438,United-States,<=50K
31,Private,HS Graduate,Never-married,Other-service,Other,Male,49,1873,2673,Germany,>50K
44,Federal-gov,Some College,Widowed,Tech-support,Amer-Indian-Eskimo,Male,28,8741,3623,United-States,<=50K
26,Self-emp-not-inc,11th Grade,Never-married,Sales,Amer-Indian-Eskimo,Male,72,6790,799,United-States,>50K
32,Federal-gov,Doctorate,Divorced,Prof-specialty,Amer-Indian-Eskimo,Male,46,4917,3424,Canada,>50K
59,Self-emp-inc,Masters,Never-married,Tech-support,White,Female,10,9710,881,Germany,<=50K
68,Federal-gov,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Male,47,9833,3951,Canada,<=50K
80,Private,11th Grade,Widowed,Exec-managerial,Amer-Indian-Eskimo,Male,89,636,1600,Mexico,>50K
69,Self-emp-inc,Masters,Separated,Craft-repair,White,Male,27,7090,3343,Germany,>50K
21,Local-gov,10th Grade,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,3,7165,642,Philippines,>50K
40,Private,Masters,Separated,Prof-specialty,White,Male,36,1277,507,Germany,>50K
32,State-gov,Doctorate,Married-civ-spouse,Tech-support,Amer-Indian-Eskimo,Female,89,7004,4563,United-States,<=50K
60,Self-emp-not-inc,Bachelors,Widowed,Other-service,White,Male,94,3243,607,Canada,<=50K
46,Federal-gov,HS Graduate,Divorced,Exec-managerial,White,Female,16,963,1753,Canada,<=50K
53,Federal-gov,HS Graduate,Widowed,Craft-repair,Black,Male,35,8864,2118,Philippines,<=50K
30,Private,HS Graduate,Married-spouse-absent,Exec-managerial,Amer-Indian-Eskimo,Male,21,7294,3308,Germany,>50K
49,Federal-gov,Some College,Separated,Exec-managerial,Asian-Pac-Islander,Female,45,478,2745,United-States,<=50K
88,Federal-gov,10th Grade,Separated,Exec-managerial,Amer-Indian-Eskimo,Male,40,4047,1579,United-States,<=50K
76,Local-gov,Bachelors,Widowed,Exec-managerial,Asian-Pac-Islander,Male,86,5618,476,Philippines,>50K
45,Federal-gov,Bachelors,Widowed,Tech-support,White,Male,4,3319,676,United-States,>50K
83,Federal-gov,Doctorate,Married-spouse-absent,Other-service,Other,Male,97,752,1258,Mexico,<=50K
59,Local-gov,HS Graduate,Separated,Tech-support,Black,Male,31,9678,1232,Canada,<=50K
62,State-gov,Doctorate,Married-spouse-absent,Craft-repair,Black,Male,97,721,4742,Philippines,>50K
79,Federal-gov,Doctorate,Married-spouse-absent,Prof-specialty,Black,Male,40,5041,2814,Philippines,<=50K
74,State-gov,Doctorate,Widowed,Prof-specialty,Asian-Pac-Islander,Female,20,5834,3554,United-States,<=50K
23,Local-gov,HS Graduate,Married-spouse-absent,Craft-repair,White,Female,76,386,2873,Canada,>50K
45,Self-emp-not-inc,10th Grade,Separated,Craft-repair,Asian-Pac-Islander,Female,30,3694,4272,Canada,<=50K
45,Federal-gov,Some College,Married-civ-spouse,Other-service,Other,Female,58,2824,103,Canada,<=50K
61,Private,Doctorate,Separated,Tech-support,Black,Female,56,2076,4538,Philippines,<=50K
47,Self-emp-inc,10th Grade,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Male,97,8186,4779,Mexico,<=50K
79,Self-emp-not-inc,Masters,Never-married,Tech-support,Other,Female,27,6814,1266,Philippines,<=50K
79,Federal-gov,Bachelors,Separated,Other-service,Amer-Indian-Eskimo,Male,20,7332,3005,Mexico,>50K
18,Private,HS Graduate,Married-civ-spouse,Other-service,Other,Male,85,5959,4875,Germany,>50K
44,Self-emp-inc,Masters,Separated,Craft-repair,Other,Female,54,6967,2356,Philippines,>50K
79,Local-gov,Some College,Widowed,Tech-support,White,Female,4,4863,4909,Canada,<=50K
20,Federal-gov,Masters,Married-spouse-absent,Sales,Asian-Pac-Islander,Female,93,6915,1896,United-States,<=50K
87,State-gov,11th Grade,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,68,6675,2544,Germany,<=50K
89,State-gov,HS Graduate,Divorced,Craft-repair,Black,Male,56,9176,218,Mexico,<=50K
44,Local-gov,Masters,Separated,Prof-specialty,Other,Female,11,6390,1912,Canada,<=50K
26,Self-emp-not-inc,Masters,Widowed,Other-service,Other,Female,35,7757,4950,United-States,>50K
79,State-gov,11th Grade,Divorced,Tech-support,Other,Male,52,4546,3302,United-States,>50K
54,Self-emp-inc,HS Graduate,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,36,640,3466,Philippines,>50K
68,State-gov,Some College,Divorced,Prof-specialty,Other,Female,25,1428,859,United-States,>50K
61,Self-emp-inc,Masters,Never-married,Sales,Other,Male,62,1734,1600,Mexico,<=50K
41,State-gov,11th Grade,Married-spouse-absent,Prof-specialty,Amer-Indian-Eskimo,Male,43,8512,2816,Mexico,>50K
76,Local-gov,Some College,Widowed,Sales,Black,Male,34,9614,3643,United-States,>50K
49,Local-gov,10th Grade,Never-married,Sales,White,Male,61,535,483,United-States,<=50K
69,State-gov,Bachelors,Widowed,Sales,Black,Male,70,3576,1930,Mexico,<=50K
79,Self-emp-not-inc,Doctorate,Widowed,Exec-managerial,Asian-Pac-Islander,Male,45,527,4643,Canada,<=50K
75,Private,Masters,Married-spouse-absent,Tech-support,Other,Female,11,4118,139,Germany,<=50K
69,State-gov,Some College,Married-civ-spouse,Sales,Amer-Indian-Eskimo,Male,29,7530,2599,United-States,<=50K
29,Federal-gov,10th Grade,Divorced,Prof-specialty,Asian-Pac-Islander,Female,42,1416,4000,United-States,>50K
56,Private,Bachelors,Separated,Tech-support,Black,Female,28,3876,744,Philippines,<=50K
19,State-gov,Some College,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,66,5960,2331,Philippines,<=50K
20,Self-emp-inc,Some College,Separated,Exec-managerial,White,Male,35,8405,3512,United-States,<=50K
73,Federal-gov,Some College,Married-spouse-absent,Craft-repair,Other,Female,42,9112,255,Mexico,<=50K
76,Self-emp-not-inc,10th Grade,Divorced,Exec-managerial,Amer-Indian-Eskimo,Male,67,9082,4904,Canada,>50K
19,Private,11th Grade,Widowed,Prof-specialty,Black,Female,92,9144,4442,Germany,>50K
19,Private,Some College,Married-spouse-absent,Other-service,Other,Female,66,7704,1673,United-States,<=50K
71,Federal-gov,10th Grade,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,76,4666,610,Germany,<=50K
18,Self-emp-not-inc,Some College,Never-married,Tech-support,White,Male,6,4062,1351,Mexico,<=50K
36,State-gov,Masters,Widowed,Prof-specialty,Asian-Pac-Islander,Male,41,3799,4461,Philippines,>50K
19,Self-emp-not-inc,Masters,Married-spouse-absent,Craft-repair,White,Female,28,808,733,Philippines,<=50K
70,State-gov,HS Graduate,Never-married,Sales,White,Male,46,2999,3362,Philippines,<=50K
61,Private,Doctorate,Widowed,Prof-specialty,Black,Female,14,3030,1414,Canada,>50K
49,State-gov,Doctorate,Widowed,Prof-specialty,Amer-Indian-Eskimo,Female,23,6082,1205,Mexico,<=50K
87,Private,Masters,Divorced,Craft-repair,White,Male,76,5897,4001,Philippines,>50K
49,Local-gov,10th Grade,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,28,8616,3294,United-States,>50K
85,Federal-gov,Some College,Married-spouse-absent,Prof-specialty,Other,Male,74,249,3409,Germany,>50K
72,Self-emp-not-inc,Some College,Married-spouse-absent,Sales,Amer-Indian-Eskimo,Male,71,5473,4777,Germany,>50K
73,Self-emp-inc,HS Graduate,Married-spouse-absent,Exec-managerial,Black,Male,8,2739,2035,Canada,>50K
34,Federal-gov,HS Graduate,Separated,Prof-specialty,Other,Male,81,9819,3464,United-States,>50K
55,State-gov,Some College,Divorced,Other-service,White,Male,55,6604,2580,Mexico,<=50K
41,Local-gov,Some College,Separated,Sales,White,Male,41,2335,386,United-States,<=50K
86,Federal-gov,Masters,Widowed,Tech-support,White,Male,94,9780,4580,Mexico,<=50K
87,Private,10th Grade,Never-married,Sales,Amer-Indian-Eskimo,Male,29,4803,3766,Germany,>50K
28,Federal-gov,Masters,Separated,Craft-repair,White,Male,19,388,1533,Canada,<=50K
33,State-gov,Bachelors,Never-married,Craft-repair,Other,Female,42,2962,3213,Canada,<=50K
76,Federal-gov,10th Grade,Separated,Sales,Other,Female,64,1380,4810,Mexico,<=50K
87,Federal-gov,11th Grade,Never-married,Craft-repair,White,Male,41,5034,3050,Philippines,<=50K
20,State-gov,Some College,Divorced,Exec-managerial,Amer-Indian-Eskimo,Male,67,6146,1625,Mexico,<=50K
37,Self-emp-inc,11th Grade,Separated,Tech-support,Asian-Pac-Islander,Female,6,7995,723,Mexico,>50K
76,Local-gov,Some College,Divorced,Other-service,Other,Female,46,155,1983,Mexico,>50K
53,Federal-gov,Some College,Divorced,Exec-managerial,Black,Male,72,2206,4956,Philippines,>50K
36,Federal-gov,Doctorate,Never-married,Other-service,Amer-Indian-Eskimo,Male,15,9611,3608,Canada,<=50K
84,Self-emp-inc,Bachelors,Separated,Tech-support,Asian-Pac-Islander,Female,7,357,4269,Canada,>50K
36,Self-emp-not-inc,11th Grade,Separated,Sales,Black,Male,12,7585,627,Philippines,<=50K
37,Federal-gov,Some College,Married-civ-spouse,Craft-repair,Other,Female,65,1819,3661,Canada,>50K
88,State-gov,Masters,Never-married,Sales,Amer-Indian-Eskimo,Female,51,7134,4664,United-States,>50K
69,State-gov,11th Grade,Separated,Sales,Amer-Indian-Eskimo,Female,16,2510,729,Mexico,>50K
50,Federal-gov,Masters,Widowed,Prof-specialty,Other,Male,28,9451,4225,United-States,>50K
57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,76,3653,1651,Canada,>50K
56,State-gov,HS Graduate,Separated,Tech-support,Other,Male,98,3625,4504,Philippines,>50K
18,Federal-gov,HS Graduate,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,50,4399,2868,United-States,<=50K
28,Federal-gov,HS Graduate,Married-spouse-absent,Tech-support,Other,Female,97,2673,710,Germany,>50K
74,Federal-gov,Some College,Widowed,Prof-specialty,Amer-Indian-Eskimo,Female,84,8741,4270,United-States,>50K
67,Local-gov,Doctorate,Separated,Sales,White,Female,20,9597,1967,Canada,>50K
40,State-gov,HS Graduate,Divorced,Other-service,White,Female,43,3361,2884,Germany,>50K
48,Private,11th Grade,Divorced,Tech-support,Asian-Pac-Islander,Male,53,2977,2526,Mexico,>50K
59,Local-gov,Doctorate,Widowed,Exec-managerial,Asian-Pac-Islander,Male,71,316,2555,Mexico,<=50K
24,Self-emp-not-inc,HS Graduate,Widowed,Tech-support,Other,Female,25,9931,3608,Philippines,<=50K
33,Local-gov,HS Graduate,Widowed,Craft-repair,White,Male,55,4369,1740,United-States,<=50K
77,Local-gov,Bachelors,Widowed,Exec-managerial,Asian-Pac-Islander,Male,13,189,2883,Mexico,<=50K
19,Self-emp-inc,10th Grade,Never-married,Craft-repair,Other,Male,47,2372,535,Canada,>50K
18,Self-emp-not-inc,HS Graduate,Divorced,Other-service,Amer-Indian-Eskimo,Female,98,2647,442,United-States,<=50K
65,Self-emp-not-inc,Bachelors,Separated,Sales,White,Female,18,6254,3459,Germany,<=50K
29,Self-emp-not-inc,Bachelors,Separated,Craft-repair,Other,Female,16,4785,230,Philippines,>50K
86,Local-gov,Some College,Divorced,Craft-repair,Other,Female,53,8910,770,Mexico,<=50K
54,Self-emp-not-inc,Bachelors,Separated,Prof-specialty,Black,Male,92,4608,4170,United-States,>50K
49,State-gov,10th Grade,Married-spouse-absent,Sales,Asian-Pac-Islander,Female,46,3873,1166,Germany,>50K
26,Self-emp-inc,10th Grade,Divorced,Other-service,Other,Male,36,5428,1037,Canada,<=50K
36,Federal-gov,Bachelors,Married-spouse-absent,Prof-specialty,Other,Female,83,9090,3984,Canada,>50K
65,Local-gov,10th Grade,Married-spouse-absent,Sales,Asian-Pac-Islander,Male,20,622,3748,Canada,>50K
20,Federal-gov,Masters,Married-civ-spouse,Craft-repair,Black,Female,32,805,4245,Philippines,<=50K
37,Federal-gov,Bachelors,Divorced,Tech-support,Asian-Pac-Islander,Female,75,9431,2185,Canada,<=50K
41,Local-gov,HS Graduate,Separated,Craft-repair,Black,Female,30,7278,3182,Mexico,<=50K
71,State-gov,11th Grade,Married-civ-spouse,Sales,Black,Female,83,8853,4225,Germany,>50K
50,Local-gov,Masters,Separated,Exec-managerial,White,Male,33,4721,2918,Mexico,>50K
41,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,White,Female,13,7160,4037,United-States,<=50K
89,Self-emp-inc,11th Grade,Married-spouse-absent,Sales,Other,Female,96,371,4477,Mexico,<=50K
53,Local-gov,Some College,Separated,Exec-managerial,Other,Male,81,3033,1288,Mexico,>50K
55,Federal-gov,HS Graduate,Married-civ-spouse,Sales,Other,Female,41,9595,3564,Canada,>50K
42,Local-gov,11th Grade,Divorced,Tech-support,White,Male,3,6325,4221,Germany,<=50K
35,Self-emp-inc,Doctorate,Separated,Sales,White,Female,5,8549,129,Germany,<=50K
83,Private,Some College,Divorced,Tech-support,Asian-Pac-Islander,Female,26,4443,899,Germany,>50K
71,State-gov,Doctorate,Separated,Exec-managerial,Other,Male,7,6761,3567,Philippines,<=50K
52,Federal-gov,Some College,Widowed,Other-service,Asian-Pac-Islander,Female,18,4898,2333,Philippines,>50K
78,Private,11th Grade,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Female,39,7678,1940,United-States,>50K
58,Private,Bachelors,Separated,Sales,White,Female,45,5743,4435,Germany,>50K
50,Self-emp-inc,Bachelors,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Male,77,4532,4257,Mexico,>50K
85,State-gov,Bachelors,Widowed,Other-service,White,Male,56,2931,3809,Philippines,<=50K
50,Local-gov,Bachelors,Separated,Exec-managerial,White,Male,65,8809,874,Germany,>50K
31,Private,11th Grade,Separated,Other-service,White,Female,35,4582,449,Mexico,<=50K
38,Self-emp-not-inc,HS Graduate,Widowed,Craft-repair,Amer-Indian-Eskimo,Female,23,3362,434,Mexico,<=50K
65,Local-gov,10th Grade,Married-spouse-absent,Sales,White,Female,20,2444,3947,Philippines,>50K
37,State-gov,Some College,Married-spouse-absent,Sales,Other,Male,46,3431,2322,Germany,<=50K
25,Federal-gov,10th Grade,Never-married,Other-service,Black,Male,93,7427,3784,United-States,<=50K
24,Local-gov,HS Graduate,Divorced,Tech-support,Asian-Pac-Islander,Male,45,3664,699,Philippines,<=50K
84,Self-emp-inc,HS Graduate,Married-civ-spouse,Other-service,Other,Male,6,4159,4731,United-States,<=50K
34,Self-emp-inc,Some College,Married-spouse-absent,Craft-repair,White,Male,13,2412,2666,Germany,<=50K
50,Federal-gov,Bachelors,Married-spouse-absent,Sales,Other,Male,23,3769,4432,Mexico,>50K
65,Federal-gov,Doctorate,Separated,Sales,Other,Male,58,892,328,United-States,<=50K
76,Federal-gov,11th Grade,Married-civ-spouse,Exec-managerial,Other,Male,4,3388,3785,Canada,<=50K
39,Self-emp-inc,10th Grade,Never-married,Other-service,Amer-Indian-Eskimo,Male,36,5505,1533,United-States,>50K
47,State-gov,HS Graduate,Separated,Craft-repair,Black,Female,62,5351,19,Mexico,>50K
55,State-gov,11th Grade,Widowed,Exec-managerial,Amer-Indian-Eskimo,Male,15,3405,2604,Canada,<=50K
68,Local-gov,Doctorate,Widowed,Tech-support,White,Female,11,9026,1373,Canada,>50K
71,Private,HS Graduate,Separated,Exec-managerial,Other,Female,53,6011,2653,United-States,>50K
25,Private,11th Grade,Widowed,Craft-repair,Black,Male,22,4493,981,Mexico,<=50K
44,Self-emp-not-inc,Doctorate,Never-married,Other-service,Other,Male,30,1431,1089,Germany,<=50K
44,Self-emp-inc,HS Graduate,Divorced,Tech-support,White,Male,18,6755,3937,Germany,<=50K
38,Federal-gov,Doctorate,Divorced,Prof-specialty,Asian-Pac-Islander,Male,50,5642,4870,Mexico,<=50K
47,State-gov,Some College,Never-married,Sales,Asian-Pac-Islander,Female,74,3844,2900,Germany,<=50K
45,Local-gov,Masters,Widowed,Exec-managerial,Black,Female,69,587,4481,Mexico,<=50K
81,State-gov,HS Graduate,Divorced,Craft-repair,Other,Female,95,5686,4425,Germany,>50K
86,Self-emp-inc,Doctorate,Widowed,Other-service,Other,Male,33,4341,3650,Canada,<=50K
78,Self-emp-not-inc,Masters,Widowed,Exec-managerial,Other,Male,56,255,1957,United-States,>50K
